timestamp,event_type,details
1766573943.899,info,msg=Module loaded: ThermostatEnv from modules.thermostat_env
1766573943.899,info,msg=Module loaded: Sensor from modules.sensor
1766573943.900,info,msg=Module loaded: Controller from modules.controller
1766573943.900,info,msg=Module loaded: Shield from modules.shield
1766573943.900,info,msg=Module loaded: Estimator from modules.estimator
1766573943.900,runtime_started,mode=step-based
1766573943.900,episode_reset,
1766573943.900,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.900,message_sent,"topic=raw_temp, sender=sensor"
1766573943.900,module_execution,module=sensor
1766573943.901,message_sent,"topic=state, sender=estimator"
1766573943.901,module_execution,module=estimator
1766573943.901,message_sent,"topic=raw_action, sender=controller"
1766573943.901,module_execution,module=controller
1766573943.901,message_sent,"topic=safe_action, sender=shield"
1766573943.901,module_execution,module=shield
1766573943.901,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.901,module_execution,module=thermostat_env
1766573943.901,message_sent,"topic=raw_temp, sender=sensor"
1766573943.901,module_execution,module=sensor
1766573943.901,message_sent,"topic=state, sender=estimator"
1766573943.901,module_execution,module=estimator
1766573943.901,message_sent,"topic=raw_action, sender=controller"
1766573943.901,module_execution,module=controller
1766573943.901,message_sent,"topic=safe_action, sender=shield"
1766573943.901,module_execution,module=shield
1766573943.901,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.901,module_execution,module=thermostat_env
1766573943.901,message_sent,"topic=raw_temp, sender=sensor"
1766573943.901,module_execution,module=sensor
1766573943.901,message_sent,"topic=state, sender=estimator"
1766573943.901,module_execution,module=estimator
1766573943.901,message_sent,"topic=raw_action, sender=controller"
1766573943.901,module_execution,module=controller
1766573943.901,message_sent,"topic=safe_action, sender=shield"
1766573943.901,module_execution,module=shield
1766573943.901,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.901,module_execution,module=thermostat_env
1766573943.901,message_sent,"topic=raw_temp, sender=sensor"
1766573943.901,module_execution,module=sensor
1766573943.901,message_sent,"topic=state, sender=estimator"
1766573943.902,module_execution,module=estimator
1766573943.902,message_sent,"topic=raw_action, sender=controller"
1766573943.902,module_execution,module=controller
1766573943.902,shield_override,"module=shield, raw_delta=10.0, safe_delta=5.0"
1766573943.902,message_sent,"topic=safe_action, sender=shield"
1766573943.902,module_execution,module=shield
1766573943.902,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.902,module_execution,module=thermostat_env
1766573943.902,message_sent,"topic=raw_temp, sender=sensor"
1766573943.902,module_execution,module=sensor
1766573943.902,message_sent,"topic=state, sender=estimator"
1766573943.902,module_execution,module=estimator
1766573943.902,message_sent,"topic=raw_action, sender=controller"
1766573943.902,module_execution,module=controller
1766573943.902,shield_override,"module=shield, raw_delta=10.0, safe_delta=5.0"
1766573943.902,message_sent,"topic=safe_action, sender=shield"
1766573943.902,module_execution,module=shield
1766573943.902,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.902,module_execution,module=thermostat_env
1766573943.902,message_sent,"topic=raw_temp, sender=sensor"
1766573943.902,module_execution,module=sensor
1766573943.902,message_sent,"topic=state, sender=estimator"
1766573943.902,module_execution,module=estimator
1766573943.902,message_sent,"topic=raw_action, sender=controller"
1766573943.902,module_execution,module=controller
1766573943.902,message_sent,"topic=safe_action, sender=shield"
1766573943.902,module_execution,module=shield
1766573943.902,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.902,module_execution,module=thermostat_env
1766573943.903,message_sent,"topic=raw_temp, sender=sensor"
1766573943.903,module_execution,module=sensor
1766573943.903,message_sent,"topic=state, sender=estimator"
1766573943.903,module_execution,module=estimator
1766573943.903,message_sent,"topic=raw_action, sender=controller"
1766573943.903,module_execution,module=controller
1766573943.903,shield_override,"module=shield, raw_delta=10.0, safe_delta=5.0"
1766573943.903,message_sent,"topic=safe_action, sender=shield"
1766573943.903,module_execution,module=shield
1766573943.903,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.903,module_execution,module=thermostat_env
1766573943.904,message_sent,"topic=raw_temp, sender=sensor"
1766573943.904,module_execution,module=sensor
1766573943.904,message_sent,"topic=state, sender=estimator"
1766573943.904,module_execution,module=estimator
1766573943.904,message_sent,"topic=raw_action, sender=controller"
1766573943.904,module_execution,module=controller
1766573943.904,shield_override,"module=shield, raw_delta=10.0, safe_delta=5.0"
1766573943.904,message_sent,"topic=safe_action, sender=shield"
1766573943.904,module_execution,module=shield
1766573943.904,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.904,module_execution,module=thermostat_env
1766573943.904,message_sent,"topic=raw_temp, sender=sensor"
1766573943.904,module_execution,module=sensor
1766573943.904,message_sent,"topic=state, sender=estimator"
1766573943.904,module_execution,module=estimator
1766573943.904,message_sent,"topic=raw_action, sender=controller"
1766573943.904,module_execution,module=controller
1766573943.904,message_sent,"topic=safe_action, sender=shield"
1766573943.904,module_execution,module=shield
1766573943.904,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.904,module_execution,module=thermostat_env
1766573943.904,message_sent,"topic=raw_temp, sender=sensor"
1766573943.904,module_execution,module=sensor
1766573943.904,message_sent,"topic=state, sender=estimator"
1766573943.904,module_execution,module=estimator
1766573943.905,message_sent,"topic=raw_action, sender=controller"
1766573943.905,module_execution,module=controller
1766573943.905,message_sent,"topic=safe_action, sender=shield"
1766573943.905,module_execution,module=shield
1766573943.905,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.905,module_execution,module=thermostat_env
1766573943.905,message_sent,"topic=raw_temp, sender=sensor"
1766573943.905,module_execution,module=sensor
1766573943.905,message_sent,"topic=state, sender=estimator"
1766573943.905,module_execution,module=estimator
1766573943.905,message_sent,"topic=raw_action, sender=controller"
1766573943.905,module_execution,module=controller
1766573943.905,message_sent,"topic=safe_action, sender=shield"
1766573943.905,module_execution,module=shield
1766573943.905,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.905,module_execution,module=thermostat_env
1766573943.905,message_sent,"topic=raw_temp, sender=sensor"
1766573943.905,module_execution,module=sensor
1766573943.905,message_sent,"topic=state, sender=estimator"
1766573943.905,module_execution,module=estimator
1766573943.905,message_sent,"topic=raw_action, sender=controller"
1766573943.905,module_execution,module=controller
1766573943.905,message_sent,"topic=safe_action, sender=shield"
1766573943.905,module_execution,module=shield
1766573943.906,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.906,module_execution,module=thermostat_env
1766573943.906,message_sent,"topic=raw_temp, sender=sensor"
1766573943.906,module_execution,module=sensor
1766573943.906,message_sent,"topic=state, sender=estimator"
1766573943.906,module_execution,module=estimator
1766573943.906,message_sent,"topic=raw_action, sender=controller"
1766573943.906,module_execution,module=controller
1766573943.906,message_sent,"topic=safe_action, sender=shield"
1766573943.906,module_execution,module=shield
1766573943.906,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.906,module_execution,module=thermostat_env
1766573943.906,message_sent,"topic=raw_temp, sender=sensor"
1766573943.906,module_execution,module=sensor
1766573943.906,message_sent,"topic=state, sender=estimator"
1766573943.906,module_execution,module=estimator
1766573943.906,message_sent,"topic=raw_action, sender=controller"
1766573943.906,module_execution,module=controller
1766573943.906,message_sent,"topic=safe_action, sender=shield"
1766573943.906,module_execution,module=shield
1766573943.906,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.906,module_execution,module=thermostat_env
1766573943.906,message_sent,"topic=raw_temp, sender=sensor"
1766573943.906,module_execution,module=sensor
1766573943.906,message_sent,"topic=state, sender=estimator"
1766573943.906,module_execution,module=estimator
1766573943.906,message_sent,"topic=raw_action, sender=controller"
1766573943.906,module_execution,module=controller
1766573943.906,message_sent,"topic=safe_action, sender=shield"
1766573943.906,module_execution,module=shield
1766573943.907,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.907,module_execution,module=thermostat_env
1766573943.907,message_sent,"topic=raw_temp, sender=sensor"
1766573943.907,module_execution,module=sensor
1766573943.907,message_sent,"topic=state, sender=estimator"
1766573943.907,module_execution,module=estimator
1766573943.907,message_sent,"topic=raw_action, sender=controller"
1766573943.907,module_execution,module=controller
1766573943.907,message_sent,"topic=safe_action, sender=shield"
1766573943.907,module_execution,module=shield
1766573943.907,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.907,module_execution,module=thermostat_env
1766573943.907,message_sent,"topic=raw_temp, sender=sensor"
1766573943.907,module_execution,module=sensor
1766573943.907,message_sent,"topic=state, sender=estimator"
1766573943.907,module_execution,module=estimator
1766573943.907,message_sent,"topic=raw_action, sender=controller"
1766573943.907,module_execution,module=controller
1766573943.907,message_sent,"topic=safe_action, sender=shield"
1766573943.907,module_execution,module=shield
1766573943.907,message_sent,"topic=true_temp, sender=thermostat_env"
1766573943.907,module_execution,module=thermostat_env
1766573943.907,message_sent,"topic=raw_temp, sender=sensor"
1766573943.907,module_execution,module=sensor
1766573943.907,message_sent,"topic=state, sender=estimator"
1766573943.907,module_execution,module=estimator
1766573943.907,message_sent,"topic=raw_action, sender=controller"
