timestamp,event_type,details
1766576128.875,info,msg=Module loaded: ThermostatEnv from modules.thermostat_env
1766576128.876,info,msg=Module loaded: Sensor from modules.sensor
1766576128.876,info,msg=Module loaded: Controller from modules.controller
1766576128.877,info,msg=Module loaded: Shield from modules.shield
1766576128.877,info,msg=Module loaded: Estimator from modules.estimator
1766576128.877,runtime_started,mode=time-thread-based
1766576128.877,episode_reset,
1766576128.878,message_sent,"topic=true_temp, sender=thermostat_env"
1766576128.878,deadlock_detected,"mode=time-based, modules=['controller', 'shield', 'thermostat_env', 'estimator']"
1766576128.878,message_sent,"topic=raw_temp, sender=sensor"
1766576128.878,module_execution,module=sensor
1766576129.079,message_sent,"topic=state, sender=estimator"
1766576129.079,message_sent,"topic=raw_temp, sender=sensor"
1766576129.079,message_sent,"topic=raw_action, sender=controller"
1766576129.079,module_execution,module=estimator
1766576129.079,message_sent,"topic=safe_action, sender=shield"
1766576129.080,module_execution,module=controller
1766576129.080,module_execution,module=sensor
1766576129.080,module_execution,module=shield
1766576129.080,message_sent,"topic=true_temp, sender=thermostat_env"
1766576129.080,module_execution,module=thermostat_env
1766576129.284,message_sent,"topic=state, sender=estimator"
1766576129.284,message_sent,"topic=safe_action, sender=shield"
1766576129.284,message_sent,"topic=raw_action, sender=controller"
1766576129.284,module_execution,module=estimator
1766576129.284,message_sent,"topic=raw_temp, sender=sensor"
1766576129.285,message_sent,"topic=true_temp, sender=thermostat_env"
1766576129.284,module_execution,module=controller
1766576129.285,module_execution,module=sensor
1766576129.285,module_execution,module=thermostat_env
1766576129.285,module_execution,module=shield
1766576129.490,message_sent,"topic=state, sender=estimator"
1766576129.490,message_sent,"topic=safe_action, sender=shield"
1766576129.490,message_sent,"topic=raw_action, sender=controller"
1766576129.489,message_sent,"topic=raw_temp, sender=sensor"
1766576129.491,module_execution,module=shield
1766576129.491,module_execution,module=controller
1766576129.491,module_execution,module=estimator
1766576129.491,module_execution,module=sensor
1766576129.492,message_sent,"topic=true_temp, sender=thermostat_env"
1766576129.492,module_execution,module=thermostat_env
1766576129.694,message_sent,"topic=raw_action, sender=controller"
1766576129.694,message_sent,"topic=raw_temp, sender=sensor"
1766576129.694,message_sent,"topic=safe_action, sender=shield"
1766576129.694,message_sent,"topic=state, sender=estimator"
1766576129.695,module_execution,module=controller
1766576129.695,module_execution,module=estimator
1766576129.695,module_execution,module=sensor
1766576129.695,message_sent,"topic=true_temp, sender=thermostat_env"
1766576129.695,module_execution,module=shield
1766576129.695,module_execution,module=thermostat_env
1766576129.899,message_sent,"topic=raw_temp, sender=sensor"
1766576129.900,message_sent,"topic=raw_action, sender=controller"
1766576129.900,message_sent,"topic=state, sender=estimator"
1766576129.900,shield_override,"module=shield, raw_delta=10.0, safe_delta=5.0"
1766576129.901,module_execution,module=controller
1766576129.901,module_execution,module=sensor
1766576129.901,module_execution,module=estimator
1766576129.902,message_sent,"topic=true_temp, sender=thermostat_env"
1766576129.901,message_sent,"topic=safe_action, sender=shield"
1766576129.902,module_execution,module=thermostat_env
1766576129.902,module_execution,module=shield
1766576130.306,message_sent,"topic=raw_action, sender=controller"
1766576130.306,message_sent,"topic=state, sender=estimator"
1766576130.305,message_sent,"topic=raw_temp, sender=sensor"
1766576130.306,message_sent,"topic=safe_action, sender=shield"
1766576130.307,module_execution,module=sensor
1766576130.307,module_execution,module=controller
1766576130.307,module_execution,module=shield
1766576130.307,module_execution,module=estimator
1766576130.308,message_sent,"topic=true_temp, sender=thermostat_env"
1766576130.309,module_execution,module=thermostat_env
1766576130.511,message_sent,"topic=raw_temp, sender=sensor"
1766576130.511,message_sent,"topic=raw_action, sender=controller"
1766576130.511,message_sent,"topic=state, sender=estimator"
1766576130.511,message_sent,"topic=safe_action, sender=shield"
1766576130.512,module_execution,module=sensor
1766576130.512,module_execution,module=controller
1766576130.512,module_execution,module=estimator
1766576130.512,module_execution,module=shield
1766576130.512,message_sent,"topic=true_temp, sender=thermostat_env"
1766576130.513,module_execution,module=thermostat_env
1766576130.716,message_sent,"topic=state, sender=estimator"
1766576130.716,shield_override,"module=shield, raw_delta=10.0, safe_delta=5.0"
1766576130.716,message_sent,"topic=raw_action, sender=controller"
1766576130.715,message_sent,"topic=raw_temp, sender=sensor"
1766576130.716,module_execution,module=controller
1766576130.716,message_sent,"topic=safe_action, sender=shield"
1766576130.716,module_execution,module=estimator
1766576130.717,module_execution,module=sensor
1766576130.717,module_execution,module=shield
1766576130.717,message_sent,"topic=true_temp, sender=thermostat_env"
1766576130.718,module_execution,module=thermostat_env
1766576130.921,message_sent,"topic=state, sender=estimator"
1766576130.921,message_sent,"topic=raw_action, sender=controller"
1766576130.921,shield_override,"module=shield, raw_delta=10.0, safe_delta=5.0"
1766576130.920,message_sent,"topic=raw_temp, sender=sensor"
1766576130.921,module_execution,module=estimator
1766576130.922,module_execution,module=sensor
1766576130.922,module_execution,module=controller
1766576130.922,message_sent,"topic=safe_action, sender=shield"
1766576130.923,message_sent,"topic=true_temp, sender=thermostat_env"
1766576130.923,module_execution,module=shield
1766576130.924,module_execution,module=thermostat_env
1766576131.125,message_sent,"topic=raw_temp, sender=sensor"
1766576131.125,message_sent,"topic=raw_action, sender=controller"
1766576131.125,message_sent,"topic=state, sender=estimator"
1766576131.126,module_execution,module=controller
1766576131.126,module_execution,module=estimator
1766576131.126,module_execution,module=sensor
1766576131.330,message_sent,"topic=raw_temp, sender=sensor"
1766576131.330,message_sent,"topic=state, sender=estimator"
1766576131.330,message_sent,"topic=safe_action, sender=shield"
1766576131.330,message_sent,"topic=raw_action, sender=controller"
1766576131.331,module_execution,module=sensor
1766576131.332,module_execution,module=shield
1766576131.332,module_execution,module=estimator
1766576131.332,module_execution,module=controller
1766576131.332,message_sent,"topic=true_temp, sender=thermostat_env"
1766576131.333,module_execution,module=thermostat_env
1766576131.733,message_sent,"topic=raw_temp, sender=sensor"
1766576131.733,message_sent,"topic=raw_action, sender=controller"
1766576131.733,message_sent,"topic=state, sender=estimator"
1766576131.733,message_sent,"topic=safe_action, sender=shield"
1766576131.734,module_execution,module=sensor
1766576131.734,module_execution,module=shield
1766576131.734,module_execution,module=controller
1766576131.734,module_execution,module=estimator
1766576131.734,message_sent,"topic=true_temp, sender=thermostat_env"
1766576131.735,module_execution,module=thermostat_env
1766576132.137,message_sent,"topic=raw_action, sender=controller"
1766576132.136,message_sent,"topic=raw_temp, sender=sensor"
1766576132.137,message_sent,"topic=safe_action, sender=shield"
1766576132.137,message_sent,"topic=state, sender=estimator"
1766576132.138,module_execution,module=controller
1766576132.138,module_execution,module=sensor
1766576132.138,module_execution,module=estimator
1766576132.138,module_execution,module=shield
1766576132.139,message_sent,"topic=true_temp, sender=thermostat_env"
1766576132.139,module_execution,module=thermostat_env
1766576132.542,message_sent,"topic=state, sender=estimator"
1766576132.542,message_sent,"topic=raw_action, sender=controller"
1766576132.542,message_sent,"topic=raw_temp, sender=sensor"
1766576132.542,message_sent,"topic=safe_action, sender=shield"
1766576132.543,module_execution,module=estimator
1766576132.543,module_execution,module=shield
1766576132.543,module_execution,module=controller
1766576132.543,module_execution,module=sensor
1766576132.543,message_sent,"topic=true_temp, sender=thermostat_env"
1766576132.543,module_execution,module=thermostat_env
1766576132.748,message_sent,"topic=raw_temp, sender=sensor"
1766576132.748,message_sent,"topic=state, sender=estimator"
1766576132.748,message_sent,"topic=raw_action, sender=controller"
1766576132.749,module_execution,module=sensor
1766576132.749,message_sent,"topic=safe_action, sender=shield"
1766576132.750,module_execution,module=shield
1766576132.749,module_execution,module=controller
1766576132.750,message_sent,"topic=true_temp, sender=thermostat_env"
1766576132.750,module_execution,module=estimator
