timestamp,event_type,details
1766575425.631,info,msg=Module loaded: ThermostatEnv from modules.thermostat_env
1766575425.631,info,msg=Module loaded: Sensor from modules.sensor
1766575425.632,info,msg=Module loaded: Controller from modules.controller
1766575425.632,info,msg=Module loaded: Shield from modules.shield
1766575425.632,info,msg=Module loaded: Estimator from modules.estimator
1766575425.633,runtime_started,mode=time-loop-based
1766575425.633,episode_reset,
1766575425.633,message_sent,"topic=true_temp, sender=thermostat_env"
1766575425.633,message_sent,"topic=raw_temp, sender=sensor"
1766575425.633,module_execution,module=sensor
1766575425.633,message_sent,"topic=state, sender=estimator"
1766575425.633,module_execution,module=estimator
1766575425.633,message_sent,"topic=raw_action, sender=controller"
1766575425.633,module_execution,module=controller
1766575425.633,message_sent,"topic=safe_action, sender=shield"
1766575425.633,module_execution,module=shield
1766575425.633,message_sent,"topic=true_temp, sender=thermostat_env"
1766575425.633,module_execution,module=thermostat_env
1766575425.835,message_sent,"topic=raw_temp, sender=sensor"
1766575425.835,module_execution,module=sensor
1766575425.835,message_sent,"topic=state, sender=estimator"
1766575425.835,module_execution,module=estimator
1766575425.835,message_sent,"topic=raw_action, sender=controller"
1766575425.835,module_execution,module=controller
1766575425.836,message_sent,"topic=safe_action, sender=shield"
1766575425.836,module_execution,module=shield
1766575425.836,message_sent,"topic=true_temp, sender=thermostat_env"
1766575425.836,module_execution,module=thermostat_env
1766575426.037,message_sent,"topic=raw_temp, sender=sensor"
1766575426.037,module_execution,module=sensor
1766575426.037,message_sent,"topic=state, sender=estimator"
1766575426.037,module_execution,module=estimator
1766575426.037,message_sent,"topic=raw_action, sender=controller"
1766575426.037,module_execution,module=controller
1766575426.037,message_sent,"topic=safe_action, sender=shield"
1766575426.037,module_execution,module=shield
1766575426.038,message_sent,"topic=true_temp, sender=thermostat_env"
1766575426.038,module_execution,module=thermostat_env
1766575426.238,message_sent,"topic=raw_temp, sender=sensor"
1766575426.238,module_execution,module=sensor
1766575426.239,message_sent,"topic=state, sender=estimator"
1766575426.239,module_execution,module=estimator
1766575426.239,message_sent,"topic=raw_action, sender=controller"
1766575426.239,module_execution,module=controller
1766575426.239,shield_override,"module=shield, raw_delta=10.0, safe_delta=5.0"
1766575426.239,message_sent,"topic=safe_action, sender=shield"
1766575426.239,module_execution,module=shield
1766575426.239,message_sent,"topic=true_temp, sender=thermostat_env"
1766575426.239,module_execution,module=thermostat_env
1766575426.443,message_sent,"topic=raw_temp, sender=sensor"
1766575426.443,module_execution,module=sensor
1766575426.443,message_sent,"topic=state, sender=estimator"
1766575426.443,module_execution,module=estimator
1766575426.443,message_sent,"topic=raw_action, sender=controller"
1766575426.443,module_execution,module=controller
1766575426.443,message_sent,"topic=safe_action, sender=shield"
1766575426.443,module_execution,module=shield
1766575426.443,message_sent,"topic=true_temp, sender=thermostat_env"
1766575426.443,module_execution,module=thermostat_env
1766575426.647,message_sent,"topic=raw_temp, sender=sensor"
1766575426.648,module_execution,module=sensor
1766575426.648,message_sent,"topic=state, sender=estimator"
1766575426.648,module_execution,module=estimator
1766575426.648,message_sent,"topic=raw_action, sender=controller"
1766575426.648,module_execution,module=controller
1766575426.648,message_sent,"topic=safe_action, sender=shield"
1766575426.648,module_execution,module=shield
1766575426.648,message_sent,"topic=true_temp, sender=thermostat_env"
1766575426.648,module_execution,module=thermostat_env
1766575426.852,message_sent,"topic=raw_temp, sender=sensor"
1766575426.854,module_execution,module=sensor
1766575426.854,message_sent,"topic=state, sender=estimator"
1766575426.855,module_execution,module=estimator
1766575426.855,message_sent,"topic=raw_action, sender=controller"
1766575426.856,module_execution,module=controller
1766575426.856,message_sent,"topic=safe_action, sender=shield"
1766575426.857,module_execution,module=shield
1766575426.857,message_sent,"topic=true_temp, sender=thermostat_env"
1766575426.857,module_execution,module=thermostat_env
1766575427.056,message_sent,"topic=raw_temp, sender=sensor"
1766575427.057,module_execution,module=sensor
1766575427.057,message_sent,"topic=state, sender=estimator"
1766575427.058,module_execution,module=estimator
1766575427.261,message_sent,"topic=raw_temp, sender=sensor"
1766575427.262,module_execution,module=sensor
1766575427.262,message_sent,"topic=state, sender=estimator"
1766575427.263,module_execution,module=estimator
1766575427.263,message_sent,"topic=raw_action, sender=controller"
1766575427.263,module_execution,module=controller
1766575427.264,message_sent,"topic=safe_action, sender=shield"
1766575427.264,module_execution,module=shield
1766575427.265,message_sent,"topic=true_temp, sender=thermostat_env"
1766575427.266,module_execution,module=thermostat_env
1766575427.466,message_sent,"topic=raw_temp, sender=sensor"
1766575427.467,module_execution,module=sensor
1766575427.468,message_sent,"topic=state, sender=estimator"
1766575427.468,module_execution,module=estimator
1766575427.468,message_sent,"topic=raw_action, sender=controller"
1766575427.469,module_execution,module=controller
1766575427.469,message_sent,"topic=safe_action, sender=shield"
1766575427.469,module_execution,module=shield
1766575427.470,message_sent,"topic=true_temp, sender=thermostat_env"
1766575427.470,module_execution,module=thermostat_env
1766575427.671,message_sent,"topic=raw_temp, sender=sensor"
1766575427.672,module_execution,module=sensor
1766575427.673,message_sent,"topic=state, sender=estimator"
1766575427.673,module_execution,module=estimator
1766575427.674,message_sent,"topic=raw_action, sender=controller"
1766575427.674,module_execution,module=controller
1766575427.675,message_sent,"topic=safe_action, sender=shield"
1766575427.675,module_execution,module=shield
1766575427.875,message_sent,"topic=raw_temp, sender=sensor"
1766575427.875,module_execution,module=sensor
1766575427.875,message_sent,"topic=state, sender=estimator"
1766575427.875,module_execution,module=estimator
1766575427.875,message_sent,"topic=true_temp, sender=thermostat_env"
1766575427.875,module_execution,module=thermostat_env
1766575428.076,message_sent,"topic=raw_temp, sender=sensor"
1766575428.076,module_execution,module=sensor
1766575428.076,message_sent,"topic=state, sender=estimator"
1766575428.076,module_execution,module=estimator
1766575428.076,message_sent,"topic=raw_action, sender=controller"
1766575428.076,module_execution,module=controller
1766575428.076,message_sent,"topic=safe_action, sender=shield"
1766575428.076,module_execution,module=shield
1766575428.076,message_sent,"topic=true_temp, sender=thermostat_env"
1766575428.076,module_execution,module=thermostat_env
1766575428.277,message_sent,"topic=raw_temp, sender=sensor"
1766575428.277,module_execution,module=sensor
1766575428.277,message_sent,"topic=state, sender=estimator"
1766575428.278,module_execution,module=estimator
1766575428.278,message_sent,"topic=raw_action, sender=controller"
1766575428.278,module_execution,module=controller
1766575428.278,message_sent,"topic=safe_action, sender=shield"
1766575428.278,module_execution,module=shield
1766575428.278,message_sent,"topic=true_temp, sender=thermostat_env"
1766575428.278,module_execution,module=thermostat_env
