timestamp,event_type,details
1766577148.527,info,msg=Module loaded: ThermostatEnv from modules.thermostat_env
1766577148.527,info,msg=Module loaded: Sensor from modules.sensor
1766577148.528,info,msg=Module loaded: Controller from modules.controller
1766577148.528,info,msg=Module loaded: Shield from modules.shield
1766577148.528,info,msg=Module loaded: Estimator from modules.estimator
1766577148.528,runtime_started,mode=time-thread-based
1766577148.528,episode_reset,
1766577148.529,message_sent,"topic=true_temp, sender=thermostat_env"
1766577148.529,deadlock_detected,"mode=time-based, modules=['controller', 'shield', 'thermostat_env', 'estimator']"
1766577148.529,message_sent,"topic=raw_temp, sender=sensor"
1766577148.529,module_execution,module=sensor
1766577148.732,deadlock_detected,"mode=time-based, modules=['shield', 'thermostat_env', 'controller']"
1766577148.733,message_sent,"topic=state, sender=estimator"
1766577148.733,module_execution,module=estimator
1766577148.733,message_sent,"topic=raw_temp, sender=sensor"
1766577148.733,module_execution,module=sensor
1766577148.937,deadlock_detected,"mode=time-based, modules=['thermostat_env', 'shield']"
1766577148.937,message_sent,"topic=raw_temp, sender=sensor"
1766577148.937,module_execution,module=sensor
1766577148.937,message_sent,"topic=raw_action, sender=controller"
1766577148.937,module_execution,module=controller
1766577148.937,message_sent,"topic=state, sender=estimator"
1766577148.937,module_execution,module=estimator
1766577149.140,deadlock_detected,"mode=time-based, modules=['thermostat_env']"
1766577149.140,message_sent,"topic=safe_action, sender=shield"
1766577149.141,module_execution,module=shield
1766577149.141,message_sent,"topic=raw_action, sender=controller"
1766577149.141,module_execution,module=controller
1766577149.141,message_sent,"topic=state, sender=estimator"
1766577149.141,module_execution,module=estimator
1766577149.141,message_sent,"topic=raw_temp, sender=sensor"
1766577149.141,module_execution,module=sensor
1766577149.341,message_sent,"topic=raw_temp, sender=sensor"
1766577149.342,module_execution,module=sensor
1766577149.342,message_sent,"topic=state, sender=estimator"
1766577149.342,module_execution,module=estimator
1766577149.342,message_sent,"topic=safe_action, sender=shield"
1766577149.342,module_execution,module=shield
1766577149.342,message_sent,"topic=raw_action, sender=controller"
1766577149.342,module_execution,module=controller
1766577149.342,message_sent,"topic=true_temp, sender=thermostat_env"
1766577149.342,module_execution,module=thermostat_env
1766577149.542,message_sent,"topic=raw_temp, sender=sensor"
1766577149.542,module_execution,module=sensor
1766577149.745,message_sent,"topic=raw_temp, sender=sensor"
